protid,DEFLINE,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
m.10038,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1,3,2,0,5,1,2,0,1,0,2,1,0
m.1103,Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1,0,3,0,0,1,0,1,0,1,1,0,0
m.22282,Calumenin OS=Bos taurus GN=CALU PE=2 SV=1,38,77,66,12,24,70,16,8,45,10,14,9
m.2229,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,0,4,0,2,2,0,0,3,0,2,2,0
m.22295,ELAV-like protein 2 OS=Xenopus tropicalis GN=elavl2 PE=2 SV=2,2,3,0,1,0,0,0,2,1,0,0,0
m.223,IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1,5,2,2,2,3,5,6,4,2,4,2,2
m.22300,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1,0,0,0,0,0,0,0,2,3,3,1,0
m.22307,Heterogeneous nuclear ribonucleoprotein K OS=Oryctolagus cuniculus GN=HNRNPK PE=2 SV=1,4,8,6,19,7,14,13,11,4,7,13,14
m.22320,BAG family molecular chaperone regulator 4 OS=Homo sapiens GN=BAG4 PE=1 SV=1,1,2,1,0,1,3,1,0,0,0,2,0
m.22339,Muscle M-line assembly protein unc-89 OS=Caenorhabditis elegans GN=unc-89 PE=1 SV=3,5,6,0,8,5,0,0,0,0,2,0,2
m.22358,Sialate O-acetylesterase OS=Mus musculus GN=Siae PE=2 SV=3,9,2,8,3,1,11,1,0,6,0,0,0
m.11035,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1",5,11,0,0,7,3,4,2,6,20,22,21
m.22365,Ubiquilin-1 OS=Rattus norvegicus GN=Ubqln1 PE=1 SV=1,17,14,8,14,10,8,10,9,10,16,10,9
m.22377,Predicted protein OS=Nematostella vectensis GN=v1g247592 PE=4 SV=1,7,8,13,12,9,13,2,4,6,0,0,0
